datetime,open,high,low,close,volume
2025-04-01,3.97,4.416,3.97,4.28,9000
2025-03-31,4.25,4.3,4.025,4.17,6100
2025-03-28,4.98,4.98,4.51,4.51,4500
2025-03-27,4.855,4.96,4.73,4.8,16300
2025-03-26,4.5,5.0,4.5,5.0,13200
2025-03-25,4.8,4.8,4.445,4.67,12600
2025-03-24,4.89,4.918,4.75,4.918,10300
2025-03-21,4.425,4.892,4.27,4.89,13200
2025-03-20,4.57,4.57,4.3,4.3,8700
2025-03-19,4.61,4.72,4.5,4.72,9300
2025-03-18,4.426,4.805,4.426,4.69,4900
2025-03-17,4.795,4.795,4.66,4.77,8100
2025-03-14,4.41,4.96,4.35,4.948,13400
2025-03-13,4.25,4.64,4.06,4.21,21300
2025-03-12,3.95,4.25,3.91,4.2,19300
2025-03-11,3.66,4.08,3.5,3.91,44600
2025-03-10,3.9,3.9,3.62,3.7,9100
2025-03-07,3.96,4.036,3.85,3.91,17900
2025-03-06,3.84,4.23,3.66,4.0,30700
2025-03-05,3.4,4.38,3.3,3.84,113600
2025-03-04,3.6,3.6,3.14,3.34,55700
2025-03-03,3.94,3.984,3.58,3.6,29200
2025-02-28,3.91,4.164,3.91,4.06,28700
2025-02-27,4.18,4.4,3.903,3.99,34300
2025-02-26,3.94,4.26,3.94,4.1,49100
2025-02-25,4.11,4.26,3.88,3.93,33200
2025-02-24,4.34,4.34,3.88,4.16,39700
2025-02-21,4.63,4.63,4.24,4.24,12700
2025-02-20,4.5,4.63,4.23,4.63,39400
2025-02-19,4.71,4.71,4.38,4.47,38800
2025-02-18,4.84,5.14,4.5,4.71,58500
2025-02-17,4.84,5.14,4.5001,4.71,58561
2025-02-14,4.9,5.15,4.819,4.89,61900
2025-02-13,5.03,5.22,4.87,5.04,80300
2025-02-12,4.85,5.26,4.85,5.25,76500
2025-02-11,4.85,5.26,4.85,5.25,76525
2025-02-10,5.09,5.18,4.83,4.95,28700
2025-02-07,4.92,5.125,4.814,5.09,58400
2025-02-06,4.86,5.281,4.71,4.86,88600
2025-02-05,4.68,5.38,4.64,4.98,192100
2025-02-04,4.97,5.298,4.42,4.66,113500
2025-02-03,4.87,5.5,4.519,4.78,310100
2025-01-31,3.74,9.34,3.53,6.09,1730800
2025-01-30,4.21,4.25,3.5,3.75,152570
2025-01-29,5.53,5.53,4.1,4.65,232610
2025-01-28,5.64,5.76,5.46,5.76,18910
2025-01-27,6.1,6.2,5.8,5.81,31120
2025-01-24,6.0,6.3,5.8,6.13,49530
2025-01-23,6.61,6.7,5.6,6.05,49720
2025-01-22,6.3,7.38,6.3,6.81,184530
2025-01-21,5.6,6.1,5.41,5.86,44970
2025-01-17,5.3,5.6,5.23,5.56,32340
2025-01-16,5.49,5.66,5.12,5.3,46650
2025-01-15,5.82,6.29,5.35,5.66,74340
2025-01-14,6.0,6.7,5.67,5.84,43180
2025-01-13,5.99,6.5,5.4,5.95,92160
2025-01-10,6.2,6.66,5.3,6.02,127810
2025-01-08,7.47,7.47,6.47,6.66,212410
2025-01-07,8.59,9.5,7.5,8.68,431530
2025-01-06,10.0,10.9,8.4,9.7,2283480
2025-01-03,4.54,10.8,3.95,9.59,26092580
2025-01-02,3.42,3.62,3.21,3.46,155450
2024-12-31,4.75,4.77,3.4,3.5,228440
2024-12-30,3.8,4.9,3.75,4.85,515650
2024-12-27,2.73,5.5,2.65,3.75,2326340
2024-12-26,2.52,2.7,2.52,2.65,10340
2024-12-24,2.7,2.8,2.57,2.64,27080
2024-12-23,2.3,2.7,2.3,2.64,51400
2024-12-20,2.44,2.8,2.22,2.27,83580
2024-12-19,2.27,2.4,2.2,2.23,12430
2024-12-18,2.23,2.4,2.2,2.22,30760
2024-12-17,2.39,2.7,2.2,2.31,17860
2024-12-16,2.57,2.57,2.32,2.32,41550
2024-12-13,2.63,2.66,2.46,2.52,24910
2024-12-12,2.56,2.62,2.46,2.56,19600
2024-12-11,2.65,2.7,2.46,2.46,9610
2024-12-10,2.65,2.77,2.55,2.61,12770
2024-12-09,2.6,2.81,2.41,2.68,20740
2024-12-06,2.6,2.67,2.45,2.54,36310
2024-12-05,2.79,2.79,2.51,2.56,23100
2024-12-04,2.79,2.88,2.69,2.8,15050
2024-12-03,2.77,2.8,2.66,2.79,12560
2024-12-02,2.53,2.8,2.53,2.7,25250
2024-11-29,2.57,2.63,2.54,2.6,4670
2024-11-27,2.37,2.63,2.35,2.54,9650
2024-11-26,2.44,2.67,2.42,2.48,10280
2024-11-25,2.7,2.77,2.4,2.46,53710
2024-11-22,2.56,2.69,2.41,2.61,16050
2024-11-21,2.4,2.58,2.36,2.55,10140
2024-11-20,2.43,2.5,2.3,2.4,14220
2024-11-19,2.48,2.6,2.3,2.43,27140
2024-11-18,2.3,2.49,2.3,2.37,10660
2024-11-15,2.49,2.49,2.3,2.34,4840
2024-11-14,2.33,2.5,2.33,2.42,6640
2024-11-13,2.35,2.5,2.33,2.33,11030
2024-11-12,2.37,2.49,2.31,2.49,10670
2024-11-11,2.41,2.5,2.3,2.37,24490
2024-11-08,2.53,2.53,2.37,2.48,8640
2024-11-07,2.55,2.6,2.37,2.45,15120
2024-11-06,2.43,2.65,2.3,2.45,12310
2024-11-05,2.42,2.57,2.31,2.41,10290
2024-11-04,2.46,2.68,2.37,2.42,10390
2024-11-01,2.69,2.69,2.3,2.46,19750
2024-10-31,2.63,2.8,2.51,2.57,4290
2024-10-30,2.6,2.7,2.47,2.63,11990
2024-10-29,2.53,2.79,2.41,2.62,13800
2024-10-28,2.51,2.7,2.51,2.55,7770
2024-10-25,2.57,2.63,2.41,2.51,11400
2024-10-24,2.72,2.72,2.31,2.57,7820
2024-10-23,2.69,2.78,2.51,2.59,4620
2024-10-22,2.8,2.8,2.59,2.64,12450
2024-10-21,2.9,2.9,2.63,2.74,9080
2024-10-18,2.64,2.99,2.64,2.77,36780
2024-10-17,2.75,2.75,2.5,2.58,25350
2024-10-16,2.22,2.85,2.2,2.8,71840
2024-10-15,2.29,2.46,2.21,2.3,40610
2024-10-14,2.12,2.3,2.11,2.18,12200
2024-10-11,2.25,2.3,2.12,2.12,12460
2024-10-10,2.16,2.27,2.05,2.26,12210
2024-10-09,2.1,2.4,2.02,2.16,19600
2024-10-08,2.22,2.27,2.11,2.15,18340
2024-10-07,2.45,2.45,2.2,2.3,21580
2024-10-04,2.36,2.49,2.25,2.45,11390
2024-10-03,2.22,2.5,2.21,2.38,19580
2024-10-02,2.51,2.58,2.32,2.45,11360
2024-10-01,2.64,2.65,2.39,2.51,20490
2024-09-30,2.67,2.7,2.6,2.64,14560
2024-09-27,2.79,2.9,2.65,2.75,45650
2024-09-26,2.5,2.82,2.5,2.8,60000
2024-09-25,2.32,2.65,2.25,2.5,166180
2024-09-24,3.06,3.2,2.33,2.34,285780
2024-09-23,3.8,3.8,3.21,3.3,173200
