datetime,open,high,low,close,volume
2025-04-01,19.08,20.08,18.715,19.22,35900
2025-03-31,19.48,19.95,18.88,19.24,49800
2025-03-28,20.56,20.665,19.54,19.66,18600
2025-03-27,20.55,21.1,20.48,20.94,21400
2025-03-26,21.5,21.52,20.36,20.5,19500
2025-03-25,21.96,22.26,21.03,21.28,59500
2025-03-24,20.76,22.45,20.671,21.86,70500
2025-03-21,20.41,20.64,19.89,20.42,34500
2025-03-20,19.4,20.99,19.3,20.81,27100
2025-03-19,18.11,19.67,17.6,19.64,87000
2025-03-18,18.97,19.05,17.99,18.15,53300
2025-03-17,19.53,20.02,18.71,19.01,44500
2025-03-14,18.41,19.95,18.41,19.53,14500
2025-03-13,18.41,18.64,17.71,18.24,25400
2025-03-12,18.44,19.26,18.17,18.82,21200
2025-03-11,19.14,19.47,17.47,18.17,45600
2025-03-10,20.59,20.59,18.51,19.17,56200
2025-03-07,21.71,21.71,20.195,21.08,68000
2025-03-06,22.41,23.0,21.09,21.78,39800
2025-03-05,23.11,23.59,21.4,22.93,19800
2025-03-04,23.86,24.18,22.53,23.35,33700
2025-03-03,25.72,26.28,24.06,24.37,51600
2025-02-28,25.04,25.99,24.66,25.88,19500
2025-02-27,25.95,26.35,25.01,25.39,22900
2025-02-26,26.11,26.97,25.47,26.11,26000
2025-02-25,27.0,27.0,25.66,25.95,53500
2025-02-24,27.3,27.99,26.0,26.88,32400
2025-02-21,27.8,27.98,27.05,27.53,27600
2025-02-20,28.52,28.621,27.4,27.73,27600
2025-02-19,29.12,29.12,27.98,28.57,37000
2025-02-18,29.91,30.0,28.405,29.12,31000
2025-02-14,30.53,31.005,29.35,29.63,27000
2025-02-13,30.44,30.96,29.99,30.52,19200
2025-02-12,30.41,31.1,29.9,30.09,28000
2025-02-11,31.07,31.25,29.63,30.74,54500
2025-02-10,30.11,31.695,29.73,31.13,47900
2025-02-07,30.24,34.36,25.75,29.4,309800
2025-02-06,30.48,30.49,29.04,29.94,30700
2025-02-05,29.97,30.62,29.58,30.5,42900
2025-02-04,29.05,30.21,28.78,29.84,44200
2025-02-03,29.11,29.3,27.38,28.63,63600
2025-01-31,29.59,30.2,28.45,30.0,42100
2025-01-30,30.01,30.58,29.08,29.84,42900
2025-01-29,30.82,30.82,28.9,29.99,43300
2025-01-28,30.92,31.392,30.2,30.8,46200
2025-01-27,30.47,32.539,30.08,31.09,37300
2025-01-24,31.24,31.94,28.3,30.3,83500
2025-01-23,29.07,31.62,28.78,31.03,29900
2025-01-22,32.67,32.99,28.274,29.54,87500
2025-01-21,32.28,34.425,31.55,32.08,118000
2025-01-17,31.38,31.878,30.1,31.46,51800
2025-01-16,31.15,31.59,29.26,30.79,83100
2025-01-15,31.21,31.72,28.99,31.05,77900
2025-01-14,29.9,32.0,29.865,30.5,114400
2025-01-13,28.5,30.35,27.002,29.73,93500
2025-01-10,28.63,29.45,27.12,28.79,83800
2025-01-08,27.18,30.0,26.606,29.2,78200
2025-01-07,27.28,28.29,26.579,27.81,67000
2025-01-06,26.71,27.48,26.28,27.01,69200
2025-01-03,24.38,26.78,23.41,26.48,95200
2025-01-02,23.81,24.421,23.4,24.01,66100
2024-12-31,22.55,24.91,22.5,23.96,37900
2024-12-30,22.1,24.0,22.02,22.31,67800
2024-12-27,19.1,22.08,18.708,21.62,71500
2024-12-26,19.05,19.5,18.901,19.37,24000
2024-12-24,19.06,19.42,19.0,19.3,14500
2024-12-23,19.22,19.5,18.87,19.29,30600
2024-12-20,18.49,19.44,17.957,19.3,25100
2024-12-19,18.9,18.9,17.677,18.45,64400
2024-12-18,18.56,19.408,17.73,18.5,53600
2024-12-17,18.94,19.0,17.82,18.59,40700
2024-12-16,18.07,19.38,17.71,19.2,49900
2024-12-13,18.34,18.34,16.61,17.9,46800
2024-12-12,19.44,19.44,18.0,18.36,79600
2024-12-11,16.2,19.95,16.0,18.44,348400
2024-12-10,14.54,14.76,13.3,14.72,39200
2024-12-09,14.71,15.29,14.3,14.51,16100
2024-12-06,15.0,15.03,14.5,14.73,23100
2024-12-05,14.96,15.295,14.5,14.85,14400
2024-12-04,14.82,15.13,14.75,15.13,7700
2024-12-03,15.62,15.62,14.5,14.92,23100
2024-12-02,15.11,15.57,14.75,15.42,16800
2024-11-29,15.01,15.62,14.78,15.31,10500
2024-11-27,15.23,15.33,14.78,15.07,9000
2024-11-26,15.27,15.39,14.91,15.3,14500
2024-11-25,15.0,15.615,14.63,15.3,17500
2024-11-22,15.054,15.054,14.54,14.93,7900
2024-11-21,14.49,14.975,13.96,14.41,21200
2024-11-20,14.81,15.021,14.278,14.55,34200
2024-11-19,14.26,14.905,14.26,14.63,51600
2024-11-18,14.48,15.105,14.2,14.75,38100
2024-11-15,14.5,14.66,13.91,14.66,26700
2024-11-14,15.09,15.45,14.39,14.5,21200
2024-11-13,15.38,15.61,15.01,15.18,13300
2024-11-12,14.99,15.46,14.99,15.35,23600
2024-11-11,15.23,15.82,15.212,15.52,21900
2024-11-08,16.07,16.32,15.44,15.44,35300
2024-11-07,16.0,16.4,15.63,16.06,48700
2024-11-06,16.4,16.4,15.8,15.91,25800
2024-11-05,15.8,16.0,15.6,15.76,11700
2024-11-04,15.63,16.19,15.38,15.75,14200
2024-11-01,15.43,15.99,15.0,15.58,11500
2024-10-31,15.79,15.79,14.94,15.27,29400
2024-10-30,15.54,16.531,15.4,15.62,48000
2024-10-29,15.77,15.92,15.57,15.84,17100
2024-10-28,15.84,16.2,15.41,15.74,49500
2024-10-25,15.96,16.0,15.5,15.66,77800
2024-10-24,15.95,16.29,15.7,15.99,34400
2024-10-23,15.86,16.67,15.77,16.0,57500
2024-10-22,16.33,16.45,15.395,16.14,60900
2024-10-21,16.18,16.36,14.81,16.25,59600
2024-10-18,16.1,16.59,15.78,16.36,35900
2024-10-17,15.82,16.1,15.63,16.01,17200
2024-10-16,15.95,16.09,15.32,16.05,26700
2024-10-15,15.75,16.145,15.12,15.78,65100
2024-10-14,15.86,16.03,15.4,15.93,28000
2024-10-11,15.85,16.15,15.396,15.95,46800
2024-10-10,15.31,15.94,15.13,15.68,42000
2024-10-09,15.4,15.75,15.305,15.57,8600
2024-10-08,15.54,15.9,15.38,15.56,24200
2024-10-07,15.54,15.93,15.42,15.52,14000
2024-10-04,15.3,15.99,15.11,15.75,38600
2024-10-03,14.88,15.28,14.5,15.08,43900
