datetime,open,high,low,close,volume
2025-04-01,104.8,105.94,103.445,104.69,1980100
2025-03-31,106.53,106.79,102.91,105.22,2761900
2025-03-28,110.1,112.19,107.31,107.99,2874000
2025-03-27,113.195,113.705,110.83,111.2,1861900
2025-03-26,116.7,117.17,113.06,114.02,2338700
2025-03-25,116.425,117.85,115.5,116.72,3018200
2025-03-24,115.8,118.067,114.65,116.38,3688000
2025-03-21,111.74,115.02,110.65,113.74,3499100
2025-03-20,112.29,114.95,111.64,112.8,2327600
2025-03-19,113.39,115.44,112.26,114.08,3762000
2025-03-18,114.83,115.37,112.17,112.92,2043400
2025-03-17,112.88,116.81,112.6,115.64,3969500
2025-03-14,109.14,113.76,108.52,112.55,4437900
2025-03-13,107.85,109.47,105.46,106.63,3482500
2025-03-12,109.23,110.82,107.042,108.78,2399700
2025-03-11,105.5,109.32,104.95,107.0,2995300
2025-03-10,111.01,111.07,104.92,105.19,5835600
2025-03-07,110.52,114.63,107.67,112.44,4498000
2025-03-06,114.36,116.96,111.12,111.22,6022300
2025-03-05,108.64,116.75,107.376,116.31,10439700
2025-03-04,100.055,108.6,97.6,108.31,17352100
2025-03-03,91.81,92.76,86.88,87.16,7462900
2025-02-28,89.07,90.61,88.43,90.49,3964000
2025-02-27,89.9,91.89,88.88,89.19,2523000
2025-02-26,89.59,91.085,88.943,89.58,1238600
2025-02-25,90.21,90.4,87.38,89.34,2023800
2025-02-24,93.26,93.46,88.85,90.88,2853700
2025-02-21,95.565,96.04,92.0,92.75,2619700
2025-02-20,96.95,97.125,93.73,95.19,1498800
2025-02-19,96.89,98.0,95.58,96.98,1537200
2025-02-18,96.69,97.1,95.11,97.04,2544500
2025-02-14,100.265,100.3,96.1,96.29,2956300
2025-02-13,98.8,100.6,97.59,100.26,2763800
2025-02-12,94.66,99.1,94.501,98.26,2101500
2025-02-11,97.59,99.42,95.67,95.78,1694000
2025-02-10,97.8,98.0,95.14,97.66,1893500
2025-02-07,98.5,98.82,96.88,97.0,1974500
2025-02-06,97.72,97.9,95.92,97.47,2406100
2025-02-05,94.5,98.41,94.39,97.45,2438500
2025-02-04,91.71,94.45,91.6,94.41,2001000
2025-02-03,92.5,94.536,91.9,93.24,1990900
2025-01-31,94.62,95.24,93.73,94.22,2712300
2025-01-30,94.38,95.98,93.67,93.76,2282800
2025-01-29,94.06,94.47,92.55,94.0,2029000
2025-01-28,91.5,96.025,90.73,94.93,4553600
2025-01-27,87.1,91.16,86.45,90.9,2791700
2025-01-24,88.5,91.075,87.99,88.86,2097200
2025-01-23,88.31,88.385,86.25,88.07,1914000
2025-01-22,89.58,90.13,88.29,88.62,1574500
2025-01-21,88.44,89.7,87.86,89.4,2700100
2025-01-17,87.38,87.49,85.897,87.29,3366500
2025-01-16,84.48,86.17,83.726,85.67,2744100
2025-01-15,84.63,85.3,83.45,84.2,1816800
2025-01-14,83.49,84.68,82.66,83.07,1931000
2025-01-13,82.99,83.7,81.36,83.49,2197500
2025-01-10,84.09,85.14,82.84,84.37,3785100
2025-01-08,84.0,85.6,82.97,85.46,2341300
2025-01-07,84.38,86.79,83.42,84.66,4691700
2025-01-06,81.19,85.9,81.19,84.38,2932700
2025-01-03,79.35,80.84,79.014,80.76,2235900
2025-01-02,80.0,80.409,78.44,78.83,1922000
2024-12-31,80.4,80.44,78.44,78.8,2674200
2024-12-30,80.5,80.91,79.4,79.64,2698900
2024-12-27,82.33,82.485,79.87,81.64,3348600
2024-12-26,82.89,83.388,82.49,83.02,2514700
2024-12-24,83.64,84.13,82.88,83.19,1697500
2024-12-23,83.245,83.64,81.86,83.6,3216300
2024-12-20,80.67,83.56,80.155,83.28,4814900
2024-12-19,83.83,84.28,80.86,81.69,3269500
2024-12-18,85.185,87.06,80.74,81.41,3984900
2024-12-17,84.76,85.88,83.44,85.42,4703400
2024-12-16,84.01,85.32,83.51,84.76,4096700
2024-12-13,83.99,84.11,81.93,81.99,1879500
2024-12-12,84.09,84.705,83.24,83.91,2615500
2024-12-11,83.76,85.78,82.809,85.0,3679700
2024-12-10,83.4,84.08,81.75,82.78,3322400
2024-12-09,85.05,85.39,82.46,83.2,3359800
2024-12-06,83.87,85.34,82.69,84.79,5295400
2024-12-05,87.265,89.8,83.335,83.515,6834100
2024-12-04,91.0,91.43,82.79,86.11,21083600
2024-12-03,81.23,81.88,79.58,81.71,9106500
2024-12-02,80.0,81.44,79.271,80.85,4462200
2024-11-29,76.29,77.794,76.025,77.56,2132600
2024-11-27,76.51,77.05,74.81,76.42,1855200
2024-11-26,76.37,77.23,75.25,76.83,2875500
2024-11-25,77.62,78.92,76.125,76.5,3238700
2024-11-22,77.13,78.62,75.315,76.57,4535100
2024-11-21,74.16,77.26,74.16,75.45,6452900
2024-11-20,74.58,74.86,72.88,73.69,2087400
2024-11-19,72.11,74.65,71.84,74.51,2239500
2024-11-18,73.67,73.92,72.1,72.88,2106300
2024-11-15,76.46,76.49,73.11,73.66,1949300
2024-11-14,78.3,78.733,76.42,76.93,2154100
2024-11-13,78.06,80.71,78.036,78.42,2213700
2024-11-12,77.0,79.08,76.9,78.22,1397200
2024-11-11,77.01,78.61,76.925,78.45,1467100
2024-11-08,76.76,76.96,75.83,76.75,1060600
2024-11-07,76.68,77.67,76.41,77.18,1487100
2024-11-06,75.75,76.72,75.45,76.61,2485000
2024-11-05,73.11,74.42,72.41,74.07,1471100
2024-11-04,71.5,73.68,70.92,73.24,2389700
2024-11-01,72.03,73.53,71.77,73.23,1306500
2024-10-31,72.48,72.606,71.48,71.89,1647400
2024-10-30,73.77,74.56,72.31,72.4,1161400
2024-10-29,73.27,73.95,72.4,73.81,1170300
2024-10-28,72.87,73.46,72.65,73.25,1476600
2024-10-25,72.24,73.11,71.9,72.24,1556400
2024-10-24,72.5,72.84,71.94,72.15,1860900
2024-10-23,74.0,74.36,72.11,72.16,2498800
2024-10-22,73.76,74.325,73.6,74.03,1070600
2024-10-21,74.64,75.8,73.93,74.04,1322200
2024-10-18,74.51,75.08,74.02,74.82,2044100
2024-10-17,75.56,76.075,74.38,74.45,3404600
2024-10-16,78.65,78.905,75.36,75.72,4049900
